timestamp,point,speed_kmph
2025-05-02 00:00:00,Point_1,42.9
2025-05-02 00:00:00,Point_2,53.7
2025-05-02 00:00:00,Point_3,50.2
2025-05-02 00:00:00,Point_4,54.0
2025-05-02 00:00:00,Point_5,59.4
2025-05-02 00:00:00,Point_6,57.1
2025-05-02 00:00:00,Point_7,57.2
2025-05-02 00:00:00,Point_8,51.4
2025-05-02 00:00:00,Point_9,50.7
2025-05-02 00:00:00,Point_10,54.0
2025-05-02 00:00:00,Point_11,64.6
2025-05-02 00:00:00,Point_12,47.5
2025-05-02 00:00:00,Point_13,52.7
2025-05-02 00:00:00,Point_14,61.0
2025-05-02 00:00:00,Point_15,49.4
2025-05-02 00:00:00,Point_16,51.2
2025-05-02 00:00:00,Point_17,55.2
2025-05-02 00:00:00,Point_18,49.7
2025-05-02 00:00:00,Point_19,46.8
2025-05-02 00:00:00,Point_20,47.8
2025-05-02 00:00:00,Point_21,45.0
2025-05-02 00:00:00,Point_22,52.5
2025-05-02 00:00:00,Point_23,55.6
2025-05-02 00:00:00,Point_24,49.8
2025-05-02 00:00:00,Point_25,40.8
2025-05-02 00:00:00,Point_26,59.4
2025-05-02 00:00:00,Point_27,48.8
2025-05-02 00:00:00,Point_28,54.6
2025-05-02 00:00:00,Point_29,49.3
2025-05-02 00:00:00,Point_30,61.6
2025-05-02 00:00:00,Point_31,57.2
2025-05-02 00:00:00,Point_32,56.4
2025-05-02 00:00:00,Point_33,57.2
2025-05-02 00:00:00,Point_34,51.7
2025-05-02 00:00:00,Point_35,55.9
2025-05-02 00:00:00,Point_36,56.5
2025-05-02 00:00:00,Point_37,57.0
2025-05-02 00:00:00,Point_38,51.5
2025-05-02 00:00:00,Point_39,48.6
2025-05-02 00:00:00,Point_40,55.5
2025-05-02 00:00:00,Point_41,52.8
2025-05-02 00:00:00,Point_42,55.8
2025-05-02 00:00:00,Point_43,54.9
2025-05-02 00:00:00,Point_44,63.0
2025-05-02 00:00:00,Point_45,57.9
2025-05-02 00:00:00,Point_46,48.3
2025-05-02 00:00:00,Point_47,49.7
2025-05-02 00:00:00,Point_48,55.7
2025-05-02 00:00:00,Point_49,49.8
2025-05-02 00:00:00,Point_50,42.2
2025-05-02 00:00:00,Point_51,48.4
2025-05-02 00:00:00,Point_52,45.3
2025-05-02 00:00:00,Point_53,53.5
2025-05-02 00:00:00,Point_54,59.1
2025-05-02 00:00:00,Point_55,53.1
2025-05-02 00:00:00,Point_56,54.4
2025-05-02 00:00:00,Point_57,52.6
2025-05-02 00:00:00,Point_58,43.6
2025-05-02 00:00:00,Point_59,51.0
2025-05-02 00:00:00,Point_60,41.6
2025-05-02 00:00:00,Point_61,58.5
2025-05-02 00:00:00,Point_62,50.8
2025-05-02 00:00:00,Point_63,53.6
